epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,37084.3,1.12682,0.45635,0.96324,0.95723,0.94071,0.9742,0.64693,1.20226,0.43068,1.04398,0.00109,0.00109,0.00109
110,37424.9,1.12792,0.45644,0.96251,0.95833,0.94011,0.97425,0.64712,1.20215,0.43057,1.04386,0.0010075,0.0010075,0.0010075
111,37762.8,1.10008,0.43265,0.97414,0.95829,0.93977,0.97408,0.64705,1.20195,0.43032,1.04379,0.000925,0.000925,0.000925
112,38100,1.09105,0.42872,0.96942,0.95819,0.94003,0.9741,0.64751,1.20185,0.43027,1.04373,0.0008425,0.0008425,0.0008425
113,38436.5,1.08864,0.42632,0.96901,0.95838,0.93941,0.97399,0.64734,1.20166,0.43004,1.04364,0.00076,0.00076,0.00076
114,38773.1,1.08302,0.42442,0.9695,0.95843,0.93919,0.97377,0.64755,1.20163,0.42992,1.04368,0.0006775,0.0006775,0.0006775
115,39109.5,1.07984,0.42315,0.96621,0.95854,0.93923,0.97362,0.64786,1.20147,0.42979,1.04362,0.000595,0.000595,0.000595
116,39446.1,1.07729,0.42071,0.96728,0.95886,0.93868,0.97381,0.64806,1.20138,0.42962,1.04353,0.0005125,0.0005125,0.0005125
117,39782.7,1.07245,0.4192,0.96495,0.95937,0.93923,0.97373,0.64838,1.20125,0.42957,1.04349,0.00043,0.00043,0.00043
118,40120.1,1.0694,0.41877,0.96463,0.95889,0.93849,0.9736,0.64832,1.2013,0.42954,1.0435,0.0003475,0.0003475,0.0003475
119,40456.3,1.0676,0.41732,0.96574,0.958,0.93949,0.97358,0.64842,1.20127,0.42948,1.04346,0.000265,0.000265,0.000265
120,40793.8,1.06645,0.41626,0.9615,0.95959,0.93804,0.97361,0.6485,1.20115,0.42938,1.04345,0.0001825,0.0001825,0.0001825
